Star,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19,iter_20,iter_21,iter_22,iter_23,iter_24,iter_25,iter_26,iter_27,iter_28,iter_29,iter_30,iter_31
14,590.8518441889144,859.4270823549585,1524.4200395026648,356.8492460361486,1090.8181097756105,258.5186065824758,256.87597683304256,822.2522316445983,985.4231397566209,971.2353442912984,677.238203379684,818.1281064193269,942.9299158925703,422.67104630470834,1328.0770733224738,338.5253039479864,378.74736435806506,311.70471497453275,566.3565287277446,319.98908385246375,416.2916973768629,388.0027862075208,414.3191559124297,1034.9587903443346,1163.1594961195765,653.6018659983359,552.5240358291944,388.08793831231065,282.7825970221844,554.4914067966592,983.5726390158436,628.9245715928151
15,976.7722157997371,749.1096011198402,1183.671174913155,937.171075586161,1189.3224942648965,305.2844524395046,467.96752503324154,617.1303305165197,702.2011741312555,803.2375266322326,590.7711285420812,483.79425780649154,591.0114602771729,990.9541919749416,1317.0056667785916,382.3622549480796,431.9146024019818,684.0431244248109,449.9812652647956,768.2655413125549,320.8481961194515,514.3326192188364,627.4597708087939,414.06142721499344,1580.7604369028006,978.0866510234715,815.8125300744925,472.06225729120945,1042.3588008462732,147.12190902262805,572.5933008020667,499.1321496541173
16,1062.9758168886192,967.0383960709479,409.1389197932443,577.1377983181346,535.1193194136699,814.4887815246079,584.8646324150153,856.5305020143967,386.13587252775835,873.700397891921,523.8008040536845,1077.3723357035428,592.9011013700417,1005.5539626255235,651.1579723632959,842.0855092097355,737.3510664113596,576.9335497669757,647.9006276763462,504.72374179618424,574.0346744011753,299.100352642871,460.6234221454687,845.4251453358818,861.1752890238496,592.7025913722034,999.5658859980962,673.7660697946743,806.6266869266894,1199.1565925105467,854.7546122315863,547.2069809208652
17,925.0771176262464,539.3593912307243,611.0138170545713,398.64000891253875,580.7642581727558,1105.8057733383544,518.9019575533754,786.1240783562694,726.6348313188817,614.1187445694675,345.5630198524623,427.2365382025897,166.77356874741903,754.6647038089782,673.8039687647927,221.93281955308117,582.7466550459034,549.5837131606113,392.34981445376366,546.2495117202968,1057.0597101620588,576.5804634129172,336.01548474157823,1025.799036242223,598.0411221767115,522.4719737500376,481.9663725212526,1091.3984630836721,507.52805248298966,690.6362172595518,832.5676082964095,565.5573589814481
18,721.1136208376683,877.2252728378348,199.83579245115402,495.1669652892707,700.9850636565762,291.6737877181958,1096.7588753693515,910.3047753543194,861.9582522415149,609.6828137293945,879.6904989711823,572.7038994068243,1014.3774788334908,471.04061205241766,481.4252689566513,944.0202327122079,970.5371664343853,543.9196064063086,1083.12849293175,1555.1618075794747,729.1429005128825,224.79265836467806,622.3270992119465,535.7547271040685,1025.958000142152,1002.3799680482638,301.47225657662256,659.7600348797528,469.9727471890218,514.6179282209938,443.54476810497675,261.28171387505705
19,699.6252208694052,1032.9110457702645,562.5996241472204,764.8873447927695,428.8052328727974,552.4455640223263,883.3311363824795,819.9194532077485,1395.9288197250578,691.9441595175941,803.2835708291673,1227.0799258639152,909.0103474505436,95.52062106350967,686.0488475054773,583.784824711845,591.0383457040601,249.85246896696674,936.7563095080255,1324.7643084407755,823.4183232762,593.8818530071962,950.6218860367406,464.7536478093291,1210.7702768087047,659.4403921802863,760.0180568305349,841.0361461865244,420.4108936864508,768.2833641345927,380.2190002721482,515.3912094087013
20,800.7204657472772,1046.2123238539857,822.9137173172154,315.07464899839067,290.60358623249874,893.9239535698064,429.5680595925144,890.2051728227067,647.3723095529172,798.1215253619375,857.2489912834611,442.89333087381607,457.33616368533626,389.108913475279,922.8210957630921,679.9407896293634,670.8735053394487,112.46745794111847,559.5755893346093,615.6190422424036,690.4534973836074,611.468607209837,377.75667271672864,834.5598925909807,407.3648405681782,1755.091430060286,895.6521009789708,937.2633542512976,857.7441233315791,727.1470300005737,861.4258278453917,920.3552127734243
21,838.0540001232606,652.8479720345597,1000.7472745827247,957.1568505153426,480.6629432204366,688.8317850458635,587.9078192929749,660.0649954910048,458.379496392922,752.5681203426088,856.3593741219775,657.8161585365841,442.61601980549136,488.7720525533632,601.2922147803305,705.942741522573,588.2113503940012,764.0364713359642,318.61753854682183,329.96778853495596,573.8721862579627,281.82333089642714,392.452996603255,332.7754090771157,226.3083613262445,526.1147393362843,605.9914909895442,993.7667916554589,1029.3752549114472,330.40412748102943,659.9419380078255,893.707888962024
22,1361.567592270765,575.2407875433187,883.0568979426572,581.1045677330234,419.57715576946623,641.6195606642555,467.99957597489544,804.9304530091407,390.2852963272462,222.34103026454602,490.59918798573176,790.2036486938129,399.046514962525,788.505963013732,487.2157805693125,637.2363655332082,437.8900319315207,823.7689262532044,527.8507509016528,1065.827044502712,790.9469097960873,979.5165275314179,416.1751583242302,592.3530302575713,1998.8078110008819,288.57463662056693,491.22917543276185,541.6193257727638,1101.6701430593853,369.42184517910226,483.20599597774594,827.3870234156664
23,733.7775564046124,789.4466418443867,950.7250763555082,143.90967082343244,869.704197160363,718.4473370177055,325.7831934972107,541.1892954084293,844.1150835442378,430.1545148820647,426.2189779465145,472.7277231462598,855.4503734616629,38.24845733105451,440.5981752294037,860.7522726885954,308.45031638796087,426.2507177812092,685.1660036528734,882.7553286137553,1227.8377165987413,610.355094059956,690.3642243684106,466.7500815341514,413.67536960614694,1092.0762667990132,756.145624104176,560.1927760322216,634.3332619274908,648.0386982270506,876.1823538819683,652.6152239127997
