Star,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7
25,641.5594656359095,444.7050582991383,538.7067634658131,567.9523064232942,461.8816757202287,685.5425622437672,876.2925749759711,779.1518617726655
26,428.82877282242777,929.8178587277985,443.03011606238886,764.3809934429731,455.49657530432796,749.6697273553187,635.4479452518912,928.7402276107948
27,689.4926961609573,667.4398635300408,709.9646662111616,1083.4907717680394,489.59155720824725,414.777817693216,191.35701063816265,941.3124063050759
28,432.4797846305981,656.2861878094103,275.91306793894427,839.9324114068214,773.7159233153441,225.575294138806,462.7547357867265,554.3663546439566
29,415.8279901543988,999.9405952629388,533.1986937234301,517.8029467835888,1213.8682371836246,786.2329766986027,784.9362502552584,366.1026989361231
30,736.089215350983,730.8356369258933,500.30876307105916,592.2807292661889,542.8746387212291,426.3811846385912,666.8868123757409,975.8921464047437
31,1240.9239412540703,370.86250650850326,475.78982885679847,557.7754467857804,473.29611384239973,560.3048573157877,507.80004771918755,387.88482324583885
32,452.2751529093015,416.97688904685594,595.4753133551897,296.35814962508636,593.239183833799,768.1022305151383,662.7594552297676,839.7978197860164
33,378.1300914312835,840.3580668123458,486.2292356196294,308.94993371173473,602.3041665629194,412.2254567400291,703.8049640214282,183.7862385193174
34,411.2282087610437,424.0797548779903,427.0810122732628,907.1060143245304,523.3844832070429,1100.7251453110327,417.1170412026232,543.1610741596326
35,778.0947779258579,613.4925461618278,967.5449054834995,323.29386181855557,790.4236587370971,829.887447564885,816.932987329824,691.2722168372111
36,822.4837766282056,516.49179972884,295.04545942657273,503.4877483835259,825.3432934000721,785.8307675849911,1284.454877770491,570.9851888375612
37,677.9235930631504,186.33169512176423,348.1098967635758,702.4106165119887,266.9936623439528,407.8445915351816,676.1762745631142,880.3680589673776
38,513.5742212242712,989.4248981976094,624.1014999251378,504.6090931739621,630.5201361301516,406.6967353294575,598.6823944837491,543.6257246413464
39,347.47458415486653,829.5934514946804,508.62280962838605,798.2233513961111,1842.8152609411038,1133.8785765478917,390.3721633707705,1108.647579709688
40,885.7865087461873,542.6259903480858,169.7888462191131,390.4805344005127,497.7382032810745,1272.9638008706174,408.23661793963817,676.2987769913909
41,623.346986497202,1178.3142006966752,297.9575297592342,126.97974925891992,639.1398786306077,1168.5923123669816,1685.578861500606,511.11813695101466
42,827.9182384860183,516.291801994064,1300.9270569830169,549.750884980581,550.0493627807355,228.02697816249022,756.0019009663176,602.083613768335
43,346.71895507404855,717.0893781533618,729.6528120406679,1399.8013529122236,759.791206998612,271.57191892456143,735.986079514539,1336.4097565112568
44,932.6427039359759,712.0511107142834,656.5082664162741,548.3997355154851,1105.7378857056694,197.71475459646712,823.0356275253677,232.07706574626818
45,653.5584324897459,549.6752225377295,864.0222628173384,534.3131193448372,550.9220166544226,718.0160297996516,474.63798304264515,477.31277547166866
46,1034.229538781209,726.4840999773659,656.361708880155,703.6270535062183,367.7091360701085,554.7137011680809,415.60063176168205,561.5257416924442
47,1310.8250964857987,715.7968677548915,1474.0798660883052,588.2611570862435,1050.04674829866,1050.0744780223558,283.2994219391994,522.3770389133832
48,783.4891730230657,489.92077388295905,671.1109718765512,1242.462376913198,224.2695264872029,732.5752164347844,1232.1263704513249,1159.1743122194061
49,531.3541056516507,245.987646792119,578.1814582291818,448.9952825350424,846.8628690898947,287.86384903677794,799.9115730647877,937.6003238316117
50,963.1069860214469,569.1099712455614,617.8380045944784,906.0563074086866,877.5605731829426,593.0133939092283,583.5885599966834,1019.1656975580123
51,1045.5939762723128,767.8501510903412,251.43401825850003,704.7124767166292,558.0757302813657,628.8440968334953,1310.8442697747007,534.769779576901
52,523.6315022775942,686.528370103136,447.5638433691702,547.5928518600142,850.1977992552839,411.11480950744175,1100.11059628294,987.646991874881
53,611.9686575501743,720.6023951428426,491.6587947801253,400.72384232786425,1173.8654331036566,950.7285671708928,164.96042220809576,884.3335595659508
54,1467.3440711137152,696.8464586715506,223.79006872174412,538.721053719674,470.88840924228487,606.5933469161987,1223.724485850337,745.341565608865
55,672.755267776302,585.2198681401005,874.0956428698163,916.4079456078675,810.7230659900316,847.3216591824668,636.2140327650802,1045.9516720670874
56,967.0165718995372,888.5978026266538,672.3234878412043,988.679712069927,936.5923681524652,507.5543175190947,378.58247796003775,599.3713272523659
57,589.2108729735746,488.3077557217187,450.253390328795,495.8874189575775,816.0750172712004,246.08827919762416,427.9681627418625,451.4212290142961
58,194.39141649018464,171.8122504220928,527.905799215591,633.6078265528007,913.613491618124,786.369105264512,1423.6202899345506,764.7476317569963
59,269.9250773509505,451.4883134776276,1018.8642866638196,878.0611617928193,949.428169531351,1035.801206761332,493.8777168468704,596.0108155070194
60,524.1523850141601,372.8938047419492,1248.09510551225,713.7911865756039,794.3181591651961,764.8815918381564,1047.1917607610892,854.5536101583093
61,605.7010554348001,444.1697012078995,1208.2911772906355,673.0955040785303,653.0586983406971,527.9529722086322,666.1407701992847,417.28496339666054
62,729.2186789941512,569.6818128499818,478.21479538867686,876.3666940474964,71.1599208671348,592.6202392491475,750.7414371643877,925.6484417610952
63,709.3008220241181,587.1544523783053,803.0965475426177,967.3166515103135,405.15394178328586,593.0133939092283,724.6366942846247,1013.4768555332489
64,576.301886068952,767.5996796902286,338.3646597932569,396.7501606680192,444.71679957593466,477.47504283247207,602.8611415836834,493.3732033223615
65,894.7100859241272,1049.9882052723985,266.1517669787782,556.6971256331652,977.2434487563943,687.6625193338226,648.9823465613113,328.3239787151531
66,548.488595443102,1073.0618216148148,529.4623408004228,1399.8013529122236,494.2147974364328,1087.2372384183261,716.7621063999566,501.248504125561
67,1187.6585527037475,775.1388358024668,399.1124345875188,974.2582815263637,625.7887804317297,551.6878238565497,926.4902902483896,540.9487518029554
68,193.08186165860215,619.0048643049106,464.9197475171381,935.6673992847244,456.12581970289176,697.7921061404767,419.53454611780126,304.22257192516975
69,1088.2605514671664,610.8364339429613,997.0327700930181,700.5171259922216,681.345510875779,1524.3397668679336,283.2994219391994,536.6331318977027
70,813.4124895158725,613.4925461618278,586.1844461165135,791.2737068551066,669.7467040863378,713.0419519219431,1081.5278378431449,491.10335130779606
71,325.2263277600705,611.3176617001996,375.00791559074923,715.4788809855121,536.4681674585505,486.77667154876684,779.1443438871792,622.6269284875726
72,786.6442547830238,1108.797360875159,646.3319551060649,805.9401100654519,940.183276449044,716.8532567351174,333.86194860268745,765.6711339684883
73,302.59994082118834,612.5684692998927,626.8257867010061,932.1895450014329,984.9957338737357,336.66468250002856,918.0212176373923,665.4280510835059
74,607.420909337183,593.5259138317151,575.295994956855,346.72558499983734,199.75930384972997,1183.8008362028331,722.6378339919833,534.6465148464206
75,572.2890056262277,473.9023130286214,154.38777737806598,1451.7925294439656,792.4334928504433,558.1418659431703,750.7414371643877,616.0773651965378
76,825.1947819502651,468.4475654570736,491.05879636683375,1003.8052899829872,676.6180846625402,593.7779923215252,853.0503897449349,1174.961887901125
77,515.2279626327202,980.6169536353581,525.0176039787489,488.6575866033036,147.9987621883171,777.0546166100526,909.9628455345314,949.9189621400877
78,570.9940701233427,912.9534318728554,627.6481080495319,241.57189595200853,796.3972695331975,295.54147544734366,436.0850776668682,770.4597495728449
79,713.2684387558224,634.6068875171597,434.2266153568441,400.72384232786425,536.6753404666656,862.5593032315815,406.9720189498078,940.7839857670732
80,523.046315484051,514.1933350854074,820.7223940472819,730.992662279675,1241.213406700059,812.8302416807944,267.94607544773925,593.3452194283021
81,553.3957331935192,483.24361122936125,308.8191003367101,588.2611570862435,952.1671940738024,814.5626484422737,1030.465675734458,578.3413326707607
82,579.5572062771761,775.1388358024668,989.6572458828633,449.04899728650753,548.3039088298672,582.8011086950273,716.886093186336,1123.7062170134377
83,615.7905898408625,852.7738789356215,1257.4368372914878,563.3017026359151,651.2266622198747,686.6821989929125,636.247742986539,767.2054020655223
84,438.92718579075387,664.2663316854614,470.42141498385735,823.008678605433,820.8388377660157,953.938760119939,816.211075715324,476.3725195505662
85,787.7248270093047,1037.2028818585843,583.2803981311071,646.9230152384037,790.7361537602677,165.6943832784692,935.0516192080291,310.374578856023
86,848.6597510461609,333.2253441760273,874.0956428698163,1109.4769259103136,448.3962609049866,785.4003479984599,1096.6866923128882,1447.7654053473425
87,628.4641347623634,202.45335268448557,819.567208781053,476.93786894584093,1012.9978725036644,444.87623088092,500.94860295128996,1185.5023304143265
88,732.7832439739933,547.2922335458109,686.1042888970719,589.4322321907449,300.8289161177137,735.596000568734,937.7391970279111,522.3770389133832
89,404.07136334800975,965.1697186501614,703.8710991439176,721.0322081716648,638.1504115173162,920.5081605820529,1304.2736788495688,1105.8348581123757
90,793.0494080813252,766.4673155524183,914.3879892794483,778.2884651760345,1045.4717507995338,786.8230980079279,585.4533498926954,799.4784634397711
91,698.6693661697086,929.8898100598343,176.7229856113247,438.7894792957163,1355.9969860941897,749.9346537220878,308.1128191783679,651.6976323622122
92,537.173764744295,870.6708494191511,609.5228997309032,749.1755326805342,118.42226395270197,671.140579654429,860.4420725976926,245.28545607804884
93,449.7908271971702,223.85323413031918,612.8017997352187,433.5739150719809,862.8472973407914,620.9547461331308,745.0696011326887,661.050477734275
94,1105.6960750645603,825.3451992600045,709.9646662111616,548.6203094180312,620.4935704079086,750.0844057023467,387.4634285126357,564.5312859999912
95,363.5510513085494,921.1706567439276,537.7915886002162,941.6600549342637,399.8548002931273,343.1931942595666,457.24414461236614,667.6659327043786
96,546.0238785382651,1350.3604481772259,516.8603516465438,613.5207961444348,392.15859947774834,554.9509201452024,283.3383174228814,544.9794104933145
97,462.6320414392983,1129.1179053114524,1042.246122911338,853.9611951727569,798.9976306199378,439.72039852023727,832.6767991911685,661.050477734275
98,992.2227802804399,1118.356080495281,1201.8261272700215,173.41562300672993,1031.9853250985418,544.8884368199034,834.8990177853741,887.0750046140628
99,644.8833131558332,548.9860162760757,532.2014076942212,708.3904470805426,648.2724857258448,205.97920259767704,791.9149765634479,490.6344880974762
100,632.6385228740987,309.9272614397177,495.05699826470624,312.76756107568485,226.55132871023415,676.283204098103,371.6515490685745,297.356757374034
101,194.39141649018464,1087.216288585786,788.8232998661364,568.6644615402888,875.4554315991918,747.7369713565429,749.7888907986143,983.5309578356546
102,703.3274536015708,891.8857144182706,288.72128506540133,942.2073123340525,1068.207631493246,1089.8332893558922,638.6259214414736,1222.0320915786097
103,459.40168688955674,872.1275903927655,820.8704274786281,515.6951503253371,1170.1823128131314,751.8591100612896,1660.6089776367605,602.1728285542782
104,403.31884197994884,554.3232703278412,681.5463481575598,422.1069355377703,468.95572082941015,633.1652270571004,706.1583162902667,257.81770900581125
105,428.51481837292954,461.79558625228896,335.3114616210419,303.1432310892965,794.7550393161916,478.787713379009,492.3549696197697,807.2536850330093
106,435.2612536441148,741.5574639811821,684.1834025229283,616.3022679287853,1425.8242810319673,423.6993774878362,344.7680806976463,759.0481578711389
107,1238.280415746067,281.9929360893135,855.7577825421249,929.381057409753,957.0531207900915,552.7271567882169,480.4307863589436,521.8237412335454
108,695.43279685596,528.2921417160902,886.512562197431,660.2211134747237,611.5107033253206,628.6372193234776,522.2027661859387,712.7496600832508
109,637.6208373470965,796.2562655093515,998.49798440077,541.6224058708416,538.8145668457497,277.9348249954493,512.6381307772998,391.56922291501957
110,411.0555664682194,1207.8402884328568,1155.8650887329914,1122.3459435312116,72.3083995995435,577.9588718204202,848.5066371652783,970.9957633608803
111,718.4252740777848,610.5368184504463,701.4532117964028,499.7903894574984,1249.3002963198635,97.66787310984571,706.8000332950205,588.7712197718754
112,261.2422199133278,302.5807313425371,1100.9798032319895,785.9031348508305,1045.876709551346,685.1907593477724,389.93795150422335,641.5372222726447
113,1215.9246234399936,1103.3640225282543,402.3016603713425,472.9418231843783,967.1114455967316,484.35487703419955,737.1352670798026,711.1763098443332
114,223.05753119375947,889.0637888139307,542.440023389776,548.6203094180312,694.2738364014431,343.07478357032375,945.7213382519784,711.4764362862315
115,169.23002607581446,565.9624922152036,1146.057829551271,1132.3058145490286,835.0478130556832,770.2919184289713,1051.6475420070087,252.79813142490164
116,198.44661626078982,677.6543274976913,214.94413469372978,615.2737627782774,960.5936433730908,732.5752164347844,540.3411271211427,634.668946565723
117,793.0494080813252,463.1341888086828,1000.385272212764,794.0613830876812,1214.2613206876035,684.4955232478679,332.95720042101175,486.2782925137301
118,616.3561301086544,1265.114884997605,889.0385911314484,239.7211713164421,625.7887804317297,703.319355117668,814.4982655822442,234.40858818641587
119,722.0486183940818,526.9828688624503,784.024886853795,731.2177771403735,820.7508940319624,810.014701691675,279.3940207734428,655.3166301224852
